No.,Nama,Alamat,Negeri,Daerah,No. Tel,Fax
6383,MASJID LADANG KOTA BAHAGIA,"KOTA BAHAGIA, 26700, MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6384,MASJID BANDAR CENDERAWASIH,"CENDERAWASIH, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6385,MASJID BANDAR MELATI,"MELATI KERATONG, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6386,MASJID TABUNG HAJI SG MERCHONG,"LADANG TABUNG HAJI, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6387,MASJID LADANG SAWIRA,"LADANG SAWIRA, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6388,SURAU KEBENARAN JUMAAT BUKIT SEROK,"RPS BUKIT SEROK, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6389,MASJID LADANG RISDA ULU KERATONG,"LADANG RISDA ULU KERATONG, 26700 MUADZAM SHAH. PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6390,MASJID LADANG KOSMA,"LADANG KOSMA KERATONG, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6391,MASJID BANDAR 08 KOTA PERDANA,"KOTA PERDANA, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6392,MASJID LADANG KOTA PERDANA BANDAR 12,"KOTA PERDANA BANDAR 12, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6393,MASJID LADANG BEBAR,"LADANG BEBAR, BEBAR, 26700 MUADZAM SHAH, PAHANG DDARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6394,MASJID LADANG LEELAU,"LADANG LELAU, 26650, PEKAN , PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6395,MASJID AN-NADHAH BUKIT IBAM,"BUKIT IBAM, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6396,MASJID POLITEKNIK,"PUSAT ISLAM POLITEKNIK, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6397,MASJID TENGKU AMPUAN AFZAN BANDAR SATELIT,"BANDAR SATELIT, 26700 , MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6398,MASJID BABUL JANNAH KG TAGUDON BARU,KG TAGUDON BARU RANAU,SABAH,PBU - RANAU,,
6399,MASJID AL HIDAYAH KG BENDANG CHEROK,"KG BENDANG CHEROK MK.TEMIN ,PEKAN CHANGLUN",KEDAH,KUBANG PASU,,
6400,MASJID JAMEK NURUL IPTIFAK,"KG. KUALA BEBANG, D/A PEJABAT JHEAINS SEMPORNA PETI SURAT 172",SABAH,TAW - SEMPORNA,089-784051,089-784052
6401,MASJID KG. LAUHARI,KG. LAUHARI D/A PEJABAT JHEAINS SEMPORNA PETI SURAT 172,SABAH,TAW - SEMPORNA,089-784051,089-784052
6402,MASJID AL-HALIM,"KG. BLOK F, D/A PEJABAT JHEAINS SEMPORNA PETI SURAT 172",SABAH,TAW - SEMPORNA,089-784051,089-784052
6403,MASJID SULABAYAN JAYA,"KG. SULABAYAN JAYA, D/A PEJABAT JHEAINS SEMPORNA PETI SURAT 172",SABAH,TAW - SEMPORNA,089-784051,089-784052
6404,MASJID AL-JANNAH,"KG. KABIMBANGAN, D/A PEJABAT JHEAINS SEMPORNA PETI SURAT 172",SABAH,TAW - SEMPORNA,089-784051,089-784052
6405,MASJID KG. SIPANGGAU,"KG. PULAU SIPANGGAU, D/A PEJABAT JHEAINS SEMPORNA PETI SURAT 172",SABAH,TAW - SEMPORNA,089-784051,089-784052
6406,MASJID AL - HIJRAH,taman sri pelabuhan,SARAWAK,BINTULU,,
6407,(ESTATE) MASJID NURUL IMAN,"ESTATE LADANG SEGAR USAHA, LOT M, KINABATANGAN",SABAH,SAN - KINABATANGAN,089-565106,
6408,(ESTATE) MASJID AL-MUHOJIRIN,"THP BUKIT BELIAN SDN BHD,PARIS SATU KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6409,(ESTATE) MASJID AR-RAZZAQ,"LADANG GLOBAL SDN BHD, PARIS DUA KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6410,(ESTATE) MASJID NURUL HIDAYAH,"HWA LI ESTATE 3 MAIN DIVISION, PARIS DUA KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6411,(ESTATE) MASJID AL-FALAH,"LINBAR ESTATE 2, SG LOKAN KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6412,(ESTATE) MASJID AL-MUHAJIRIN,"BOUSTEAD PLANTATION SDN BHD, LADANG SUTERA,RANTAU ABANG KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6413,(ESTATE) MASJID NURUL TAQWA,"HWA LI ESTATE 3, KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6414,(ESTATE) MASJID NURUL MUTTAQIN,"PONTIAN FICO, SDN BHD. KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6415,(ESTATE) MASJID AL-TAQWA,"LADANG SYARIMO, SYARIKAT BEST COCOA SDN BHD, SANGAU KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6416,(ESTATE) MASJID NURUL UYUN,"LITANG ESTATE, KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6417,(ESTATE) MASJID AR-RAHMAN,"PENDIROSA ESTATE SDN BHD, PARIS 3 KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6418,(ESTATE) MASJID DARUSSALAM,"TOMANGGONG ESTATE SDN BHD, PARIS TIGA KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6419,(ESTATE) MASJID AL-MUBARAQ,"LADANG SYARIMO 7, SANGAU KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6420,(ESTATE) MASJID AR-RAHMAN,"ABEDON SDN BHD, LADANG KOLAPIS, RANTAU ABANG KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6421,(ESTATE) MASJID AT-TAQWA,"ORICO ESTATE SDN BHD, PARIS TIGA KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6422,(ESTATE) MASJID AL-MUTTAQIN,"TUNG HUP PALM OIL S/B, BATU PUTEH KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6423,(ESTATE) MASJID AL-IKHLAS,"KIM SOONG RESOURCES BERHAD, PARIS DUA KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6424,(ESTATE) MASJID AL-AMIN,"LADANG SEPAGAYA, SUKAU KINABATANGAN.",SABAH,SAN - KINABATANGAN,,
6425,(ESTATE) MASJID AR-RAHMAN,"LADANG PERMODALAN 2, SUKAU KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6426,(ESTATE) MASJID AL-ASMAAN,"LADANG PERMODALAN 4, SUKAU KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6427,(ESTATE) MASJID AT-TAQWA,"LADANG BODE, KRETAM KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6428,(ESTATE) MASJID NURUL IMAN,"LIPONG, MASANG ESTATE KRETAM, RANTAU ABANG KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6429,(ESTATE) MASJID NURUL JANNAH,"FELCRA BERHAD ESTATE PERTAMA, KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6430,(ESTATE) MASJID NUR HIDAYAH,"LADANG KARANGAN DIV.4, PARIS SATU KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6431,(ESTATE) MASJID ASY-SYURA,"LADANG BATU PUTIH, KINABATANGAN",SABAH,SAN - KINABATANGAN,,
6432,MASJID AR-RAHMAN,"KG. DASAR BARU,JALAN TENGAH NIPAH, LAHAD DATU.",SABAH,TAW - LAHAD DATU,,
6433,MASJID AN-NUR JELAI,MASJID JAMEK JELAI BATU KURAU,PERAK,TAIPING / LARUT MATANG,,
6434,MASJID JAMEK SEMPENEH CHEMPAKA,MASJID JAMEK SEMPENEH CHEMPAKA BATU KURAU,PERAK,TAIPING / LARUT MATANG,,
6435,MASJID MELAYU BANDAR TAIPING,JALAN KOTA TAIPING,PERAK,TAIPING / LARUT MATANG,135106128,
6436,MASJID NURUL NAIM,"KG. LAMAK BUKIT, JALAN SILAM",SABAH,TAW - LAHAD DATU,,
6437,MASJID LADANG RIMMER,LADANG RIMMER,SABAH,TAW - LAHAD DATU,,
6438,MASJID NURUL SAADAH,KG. BAKAPIT LAHAD DATU,SABAH,TAW - LAHAD DATU,,
6439,MASJID KARIAH BANDAR SPRINGHILL,,N. SEMBILAN,PORT DICKSON,,
6440,MASJID AT-TAQWA,KOMPLEKS IBUPEJABAT POLIS DAERAH LAHAD DATU,SABAH,TAW - LAHAD DATU,,
6441,MASJID AL-MUHAJIRIN,"KG. BATU 1 (1/2), JALAN SEGAMA LAHAD DATU",SABAH,TAW - LAHAD DATU,,
6442,MASJID MORISEM,LADANG MORISEM LAHAD DATU,SABAH,TAW - LAHAD DATU,,
6443,MASJID TABUNG HAJI,LADANG TABUNG HAJI,SABAH,TAW - LAHAD DATU,,
6444,MASJID AR-RAHMAN,"KG. DASAR BARU, LAHAD DATU",SABAH,TAW - LAHAD DATU,,
6445,MASJID NUR SHAHIRAH,"LADANG SKIM BAGAHAK 1, LAHAD DATU",SABAH,TAW - LAHAD DATU,,
6446,MASJID MUKHLISIN KG PAYA DEWAN BETA,mulong,KELANTAN,KOTA BHARU,1125453202,
6447,MASJID TAMAN TIONG,PASIR HOR,KELANTAN,KOTA BHARU,,
6448,MASJID ABD RAHMAN AUF CABANG3 KEDAI BULUH,,KELANTAN,KOTA BHARU,,
6449,MASJID AN NUR QARIAH KAMPUNG TINI,PASIR HOR,KELANTAN,KOTA BHARU,,
6450,MASJID IKTIKAF AR-RAHMAN KG SETERPA,MASJID IKTIKAF AR-RAHMAN KG SETERPA BANGGU 16150 KOTA BHARU KELANTAN,KELANTAN,KOTA BHARU,,
6451,MASJID MUKIM DARUSSALAM,,KELANTAN,PASIR PUTEH,,
6452,MASJID BANDAR UNIVERSITI SERI ISKANDAR,"LOT 20752, BANDAR UNIVERSITI32610 SERI ISKANDAR, PERAK.",PERAK,SERI ISKANDAR,53711801,
6453,MASJID AL-RIDUANIAH,"KAMPONG LALANG, 33320 GERIK, PERAK",PERAK,GERIK,013-5098766,
6454,MASJID SAIDINA UTHMAN IBN AFFAN KARIAH PAYA BESAR,"TAMAN KUCHAI, 09600 LUNAS, KEDAH.",KEDAH,KULIM,,
6455,MASJID JAMEK KAMPUNG DATO' AHMAD SAID TAMBAHAN 3,"KAMPUNG DATO' AHMAD SAID TAMBAHAN 3, 30020 IPOH, PERAK",PERAK,IPOH,195717765,
6456,MASJID MUHAMMAD AL-FATEH,"TAMAN JATI, 30020 IPOH, PERAK",PERAK,IPOH,175554828,
6457,MASJID JAMEK AL-TAUFIQIAH,"TAMAN KLEBANG JAYA, CHEMOR, 31200 IPOH,PERAK",PERAK,IPOH,019-5749710,
6458,MASJID AL-HUDA,"LALUAN SRI AMPANG 10, KAMPUNG SRI AMPANG, 31350 IPOH, PERAK",PERAK,IPOH,125190958,
6459,MASJID NUR AIN,"DESA CHEMOR IMPIAN, CHEMOR, 31200 IPOH,PERAK",PERAK,IPOH,125172945,
6460,MASJID NURUL FALAH,"KAMPUNG TERSUSUN KLEBANG SELATAN, CHEMOR, 31200 IPOH, PERAK",PERAK,IPOH,195388085,
6461,MASJID AL-IHTIDAIYAH TAMBUN,"JALAN BESAR TAMBUN, 31400 IPOH,PERAK",PERAK,IPOH,127858656,
6462,TAMAN PELANGI,"SURAU TAMAN PELANGI, PERAI",PULAU PINANG,SEBERANG PERAI TENGAH,,
6463,MASJID BANDAR TASEK MUTIARA,"JALAN TASEK MUTIARA 6, BANDAR TASEK MUTIARA, 14120 SIMPANG AMPAT, PULAU PINANG",PULAU PINANG,SEBERANG PERAI SELATAN,,
6464,MASJID AL-HASANAH SUNGAI RAMBAI,"LEBUH AMJ SUNGAI RAMBAI, 77400 SUNGAI RAMBAI, MELAKA",MELAKA,JASIN,,
6465,MASJID TAMAN MERDEKA JAYA,"TAMAN MERDEKA JAYA, BATU BERENDAM, MELAKA",MELAKA,MELAKA TENGAH,,
6466,MASJID TANAH MELINTANG,,N. SEMBILAN,KUALA PILAH,,
6467,"SURAU AL FALAH, HALAMAN SEROJA","HALAMAN SEROJA, BANDAR CASSIA",PULAU PINANG,SEBERANG PERAI SELATAN,,
6468,MASJID IBNU KHALDUN LAVENDER HEIGHT,"3753, PERSIARAN LAVENDER HEIGHT, TAMAN SERI PAROI",N. SEMBILAN,SEREMBAN,,
6469,MASJID TAMAN GURU MELAYU,"JALAN KEKWA 7, TAMAN GURU MELAYU",N. SEMBILAN,SEREMBAN,,
6470,MASJID PULAPOL AIR HITAM,MASJID PULAPOL AIR HITAM PUSAT LATIHAN POLIS AIR HITAM,N. SEMBILAN,JEMPOL,06-4684222,06-4684229
6471,MASJID NURUL ISLAM,"BATU 4, DESA PAHLAWAN, JALAN AMPANGKUALA LUMPURNO PENDAFTARAN:JAWI/5/003/1/82",W.P. KUALA LUMPUR,ZON 3,,
6472,Masjid Universiti Malaysia Sabah,Pusat Islam Jalan Masjid off Universiti Malaysia Sabah Jln UMS Kota Kinabalu Sabah 88400 Malaysia,SABAH,PBS - KOTA KINABALU,088-320000 samb,088-320736
6473,MASJID SELAT MELAKA,"MASJID SELAT MELAKA, 75000 PULAU MELAKA, MELAKA.",MELAKA,MELAKA TENGAH,62823576,62824576
6474,MASJID CINA NEGERI MELAKA (AL-MUTTAQIN),"MASJID CINA NEGERI MELAKA, PAYA RUMPUT KRUBONG,75260 MELAKA.",MELAKA,MELAKA TENGAH,63347321,63347328
6475,MASJID AL-ALAMI MITC,"MASJID AL-ALAMI, MITC, BANDAR MITC, HANG TUAH JAYA,75450 AYER KEROH, MELAKA.",MELAKA,MELAKA TENGAH,62312581,62312581
6476,Masjid Sayyidina Abu Bakar As-Siddiq,"Felda Lepar Utara 2 & 4, 26400 bandar pusat Jengka Pahang Darul Makmur.",PAHANG,JENGKA,,
6477,Masjid Bandar Tun Abdul Razak Jengka,"Bandar Pusat Jengka 26400 Bandar Pusat Jengka, Pahang Daru Makmur.",PAHANG,JENGKA,,
6478,MASJID SAYYIDINA ABU BAKAR,"MASJID SAYYIDINA ABU BAKAR, UNIVERSITI TEKNIKAL MALAYSIA MELAKA, 76100 DURIAN TUNGGAL, ALOR GAJAH, MELAKA.",MELAKA,ALOR GAJAH,63316260,63316262
6479,MASJID SAYYIDINA ABU BAKAR,"Masjid Sayyidina Abu Bakar, Universiti Teknikal Malaysia Melaka 76100 Durian Tunggal. Alor Gajah, Melaka",MELAKA,ALOR GAJAH,63316260,63316262
6480,MASJID SAYYIDINA ABU BAKAR,"MASJID SAYYIDINA ABU BAKAR, UNIVERSITI TEKNIKAL MALAYSIA MELAKA, 76100 DURIAN TUNGGAL ALOR GAJAH, MELAKA",MELAKA,MELAKA TENGAH,63316260,63316262
6481,MASJID SULTAN MUHAMMAD KE-V,"MASJID SULTAN MUHAMMAD V, KOMPLEKS PENJARA SUNGAI UDANG, JALAN MASJID TANAH, 75000 SUNGAI UDANG, MELAKA",MELAKA,MELAKA TENGAH,,
6482,MASJID SALMAH KHAMIS,"MASJID SALMAH KHAMIS, KAMPUNG DURIAN DAUN, 78300 MASJID TANAH, MELAKA.",MELAKA,ALOR GAJAH,,
6483,MASJID TASIK UTAMA,"JALAN TU 30, TAMAN TASIK UTAMA, 75450 AYER KEROH, MELAKA",MELAKA,MELAKA TENGAH,,
6484,MASJID AL-KAHFI PUSPEN BENTA,"PUSAT SERENTI, BENTA",PAHANG,LIPIS,93239017,93239155
6485,MASJID MAHMOODIAH,"JALAN P18C, PRESINT 18, 62100 PUTRAJAYA",W.P. PUTRAJAYA,WILAYAH PERSEKUTUAN PUTRAJAYA,1114916281,03-88842701
6486,MASJID PELINDUNG UTAMA,,PAHANG,BANDARAYA KUANTAN,,
6487,MASJID CENDERAWASIH,,PAHANG,BANDARAYA KUANTAN,,
6488,MASJID BALOK BARU,,PAHANG,BANDARAYA KUANTAN,,
6489,MASJID CHENDOR BARU,,PAHANG,BANDARAYA KUANTAN,,
6490,MASJID AL-AZIM,,PAHANG,BANDARAYA KUANTAN,,
6491,MASJID AL-MAHMUDI SALOR,MASJID AL-MAHMUDI SALOR jalan pasir mas-salor 15100 kota bharu kelantan,KELANTAN,KOTA BHARU,,
6492,MASJID BINJAI,MASJID BINJAI KG BATU 5 BINJAI JALAN AIR PUTIH 24000 KEMAMAN,TERENGGANU,KEMAMAN,609-8591262,09-5894257
6493,MASJID AL-KHAIRIAH,"KAMPUNG KEPAYANG, JALAN GHAZALI JAWI,31400 IPOH,PERAK",PERAK,IPOH,108417173,
6494,MASJID AFIQ,AFIQ ENTERPTRISE,SELANGOR,KUALA SELANGOR,,
6495,MASJID AFIQ,,SELANGOR,KUALA SELANGOR,,
6496,MASJID AT TAQWA,BUKIT MAHKOTA KAJANG,SELANGOR,HULU LANGAT,,
6497,MASJID ABD SOMAD,,W.P. KUALA LUMPUR,ZON 2,,
6498,MASJID ABD SOMAD,,W.P. KUALA LUMPUR,ZON 2,,
6499,MASJID UNIVERSITI KEBANGSAAN MALAYSIA,UNIVERSITI KEBANGSAAN MALAYSIA 43650 BANDAR BARU BANGI,SELANGOR,HULU LANGAT,,
6500,MASJID JABATAN PENJARA,JABATAN PENJARA MALAYSIA PENJARA PUSAT KAJANG SG JELOK,SELANGOR,HULU LANGAT,,
6501,MASJID AL AZHAR,KOLEJ UNIVERSITI ISLAM SELANGOR BANDAR SERI PUTRA,SELANGOR,HULU LANGAT,,
6502,MASJID AL UMM,"JALAN 1/3K, SEKSYEN 1, 43650 BANDAR BARU BANGI",SELANGOR,HULU LANGAT,,
6503,MASJID AT TAQWA,LOT 4267 PERSIARAN MAHKOTA 2 BANDAR BUKIT MAHKOTA,SELANGOR,HULU LANGAT,,
6504,MASJID AT TAQWA,JALAN DESA SERDANG 21 TAMAN DESA SERDANG,SELANGOR,HULU LANGAT,,
6505,MASJID TAMAN SRI SAUJANA,"Taman Sri Saujana 2, 81900 Kota Tinggi, Johor",JOHOR,KOTA TINGGI,,
6506,MASJID TAMAN BERSATU KUALA KEDAH,ALWAHDATUL ISLAMIAH TAMAN BERSATU KUALA KEDAH,KEDAH,KOTA SETAR,,
6507,MASJID TAMAN TUNKU YAAKOB,"TAMAN TUNKU YAAKOB, JALAN ALOR MENGKUDU, 05400 ALOR SETAR.",KEDAH,KOTA SETAR,,
6508,MASJID RAJA HAJI FI SABILILILLAH (PENGURUSAN),"PERSIARAN SEMARAK API, CYBERJAYA, 63000 CYBERJAYA, SELANGOR",SELANGOR,SEPANG,102414964,
6509,MASJID AL HIJRAH PPR HILIRAN,PROJEK PERUMAHAN RAKYAT PADANG HILIRAN,TERENGGANU,KUALA TERENGGANU,,
6510,MASJID JAMEK PANTAI TOK JEMBAL,KAMPUNG TOK JEMBAL,TERENGGANU,KUALA NERUS,,
6511,MASJID KAMPUNG GONG KUBUR,KAMPUNG GONG KUBUR,TERENGGANU,MARANG,019-9531949,00-00000000
6512,MASJID IMAM AS-SYAFIE,"KAMPUS PENGAJIAN ISLAM BANGI, 43000 KAJANG, SELANGOR",SELANGOR,SEPANG,03-89250352,03-89250781
6513,MASJID SULTAN HAJI AHMAD SHAH AL MUSTAINUBILLAH,TEMERLOH,PAHANG,TEMERLOH,,
6514,MASJID AS-SODIQIN,TAMAN KOBENA CHERAS JAWI.K.Z5/M085(2020) BTH 17 JULAI 2020,W.P. KUALA LUMPUR,ZON 3,,
6515,MASJID TUAN GURU HAJI ARSHAD,"MASJID TUAN GURU HAJI ARSHAD, PARIT TOK NGAH DARAT, JALAN BAHARU",PERAK,PARIT BUNTAR,174032506,
6516,MASJID MAHYUDDIN,"PEKAN BATU 5,KUALA KURAU,PERAK DARUL RIDZUAN",PERAK,PARIT BUNTAR,175173401,
6517,MASJID AL-IKHWAN TAMAN BERNAM,"JALAN BENDAHARA, 35900 TANJONG MALIM, NEGERI PERAK",PERAK,MUALLIM,,
6518,MASJID AL-KHAIRIAH,"BATU 23, KAMPUNG SELEKOH, 36200 SELEKOH, PERAK",PERAK,BAGAN DATUK,192268645,
6519,MASJID INDIA MUSLIM,"JALAN AH CHEONG 36000 TELUK INTAN, PERAK",PERAK,TELUK INTAN,195575117,
6520,MASJID TAMAN SCIENTEX,TAMAN SCIENTEX PASIR GUDANG,JOHOR,JOHOR BAHRU,,
6521,MASJID AN NUR STULANG LAUT,TAMAN STULANG LAUT,JOHOR,JOHOR BAHRU,,
6522,MASJID DAING ABDUL RAHMAN,TAMAN NUSA IDAMAN,JOHOR,JOHOR BAHRU,,
6523,MASJID ASMA AL HUSNA,TAMAN UDA UTAMA,JOHOR,JOHOR BAHRU,,
6524,MASJID BANDAR SERI ALAM,JALAN RIMBUN BANDAR SERI ALAM,JOHOR,JOHOR BAHRU,,
6525,MASJID SULTAN ISKANDAR,BANDAR DATO ONN,JOHOR,JOHOR BAHRU,,
6526,MASJID TAMAN SRI BAYU,"MASJID TAMAN SRI BAYU, TAMAN SRI BAYU",JOHOR,MERSING,,
6527,MASJID KOTA ISKANDAR,KOTA ISKANDAR NUSAJAYA,JOHOR,JOHOR BAHRU,,
6528,MASJID KG AIR PUTERI,KG. AIR PUTRI MERSING,JOHOR,MERSING,,
6529,MASJID NUR AIN,"KG. SEPADULANG ULU,JALAN SEGAMA, LAHAD DATU",SABAH,TAW - LAHAD DATU,,
6530,MASJID NUR AIN,"KG. SAPADULANG ULU, JALAN SEGAMA BATU 8",SABAH,TAW - LAHAD DATU,,
6531,MASJID TAMAN PULAI INDAH,TAMAN PULAI INDAH,JOHOR,JOHOR BAHRU,,
6532,MASJID BANDAR BARU UDA,BANDAR BARU UDA,JOHOR,JOHOR BAHRU,,
6533,MASJID INSPI,"MASJID INSTITUT PENGAJIAN ISLAM 24000 KEMAMAN, TERENGGANU, MALAYSIA",TERENGGANU,KEMAMAN,098-591262,09-8591262
6534,MASJID ASSOBIRIN KG KEBULU,KG KEBULU 89007 SOOK SABAH,SABAH,BPA - SOOK,,
6535,MASJID AL-HUDA KG LINTUHUN,KG LINTUHUN SOOK SABAH,SABAH,BPA - SOOK,87365524,
6536,MASJID AL-AMIN,KG SERI MENANTI SOOK,SABAH,BPA - SOOK,,
6537,MASJID SERI KUIT LANAS,KG SERI KUIT LANAS,SABAH,BPA - SOOK,,
6538,MASJID MANSIAT,KG MANSIAT SOOK,SABAH,BPA - SOOK,,
6539,MASJID GELIGA (KERAJAAN),"KAMPUNG GELIGA, CUKAI, 24000 KEMAMAN ,TERENGGANU DARUL IMAN",TERENGGANU,KEMAMAN,609-8591262,09-8594257
6540,MASJID KAMPUNG BUKIT ANAK DARA,"KAMPUNG BUKIT ANAK DARA, 24100 KIJAL, TERENGGANU",TERENGGANU,KEMAMAN,098-591262,09-8591262
6541,MASJID KIJAL (KERAJAAN),"JALAN MENGKUANG 2, PEKAN KIJAL, 24100 KIJAL, TERENGGANU",TERENGGANU,KEMAMAN,609-8591262,09-8594257
6542,MASJID BUKIT KUKURAN,"24200 KEMASIK, KEMAMAN, TERENGGANU",TERENGGANU,KEMAMAN,098-591262,09-8594257
6543,KARIAH MENGKUANG TITI,"SURAU TAMAN MALWIRA, MENGKUANG TITI",PULAU PINANG,SEBERANG PERAI TENGAH,,
6544,MASJID BAITUS-SALAM,VISTA MININTOD,SABAH,PBS - PENAMPANG,,
6545,MASJID AT-TAQWA,RTM KEPAYAN,SABAH,PBS - PENAMPANG,,
6546,MASJID AL-FATTAH,IPD PENAMPANG,SABAH,PBS - PENAMPANG,,
6547,MASJID NURUL HASANAH,KG KULAMBAI DUNDAU KUPANG JALAN PORT USUKAN,SABAH,PBU - KOTA BELUD,,
6548,MASJID JABI (KERAJAAN),"LAY OUT JABI,22020 JERTEH,BESUT",TERENGGANU,BESUT,,
6549,MASJID HJ QAHAR KOMPLEKS ISLAM RANTAU,MASJID HJ QAHAR KOMPLEKS ISLAM RANTAU,N. SEMBILAN,SEREMBAN,,
6550,MASJID TAMAN SENAWANG JAYA,MASJID TAMAN SENAWANG JAYA,N. SEMBILAN,SEREMBAN,,
6551,MASJID QARYAH IBNU KHALDUN,MASJID QARYAH IBNU KHALDUN TAMAN LAVENDER HEIGHT,N. SEMBILAN,SEREMBAN,,
6552,MASJID KARIAH MUALLIMIN,MASJID KARIAH MUALLIMIN TAMAN GURU MELAYU,N. SEMBILAN,SEREMBAN,,
6553,MASJID TAMAN BANDAR SENAWANG,MASJID TAMAN BANDAR SENAWANG,N. SEMBILAN,SEREMBAN,,
6554,MASJID SHEIKH AHMAD BANDAR SERI SENDAYAN,MASJID SHEIKH AHMAD BANDAR SERI SENDAYAN,N. SEMBILAN,SEREMBAN,,
6555,MASJID NURUL IHSAN RASAH KEMAYAN,MASJID NURUL IHSAN RASAH KEMAYAN,N. SEMBILAN,SEREMBAN,,
6556,MASJID ENSTEK NILAI,MASJID ENSTEK NILAI,N. SEMBILAN,SEREMBAN,,
6557,MASJID SRI SENDAYAN,MASJID SRI SENDAYAN,N. SEMBILAN,SEREMBAN,,
6558,MASJID UNISEL,"UNIVERSITI INDUSTRI SELANGOR, KAMPUS BESTARI JAYA, JALAN TIMUR TAMBAHAN",SELANGOR,KUALA SELANGOR,332805035,360470017
6559,MASJID PUNCAK ALAM,"PERSIARAN PUNCAK ALAM 1, BANDAR PUNCAK ALAM",SELANGOR,KUALA SELANGOR,03-33922811 / 0,03-33938427
6560,MASJIDAL-KHAIRIAH,LADANG SG GAYONG,PAHANG,MUADZAM SHAH,,
6561,MASJID ULUL AL BAB,"KG GARUDA BARU, JLN TANDEK, P/S 201,",SABAH,PBU - KOTA MARUDU,,
6562,MASJID AR RAHMAN,"KG TAIWAN, JLN KIONSOM,",SABAH,PBU - KOTA MARUDU,,
6563,MASJID AN NUR,"KG LONGOB, 89108",SABAH,PBU - KOTA MARUDU,,
6564,MASJID AL HIJRAH,"KG GANA, JLN DAMAI",SABAH,PBU - KOTA MARUDU,,
6565,MASJID TAMAN SERI SULONG,"TAMAN INDUSTRI SERI SULONG, MUKIM 4, PARIT SULONG, BATU PAHAT JOHOR",JOHOR,BATU PAHAT,177858910,
6566,MASJID AL HIJRAH,KG. GANA KOTA MARUDU,SABAH,PBU - KOTA MARUDU,,
6567,MASJID ULUL AL BAB,"Kg. Garuda baru, p.s 201",SABAH,PBU - KOTA MARUDU,,
6568,MASJID NUR AIN,"Kg longob, jalan damai",SABAH,PBU - KOTA MARUDU,,
6569,MASJID AL-MAKMUR KEM BATU 10,"JALAN GAMBANG, KEM TENTERA BATU 10, KUANTAN",PAHANG,BANDARAYA KUANTAN,,
6570,MASJID AL-HIDAYAH PAYA BESAR,"JALAN GAMBANG, PERMATANG BADAK,25150 KUANTAN, PAHANG DARUL MAKMUR.",PAHANG,BANDARAYA KUANTAN,,
6571,MASJID AL-MUHAMMADI KEM PPH BUKIT GALING,"KEM PGA GALING, 25300 KUANTAN, PAHANG DARUL MAKMUR.",PAHANG,BANDARAYA KUANTAN,,
6572,"MASJID AL-HIDAYAH, ALOR AKAR","LORONG ALOR AKAR 31, PERKAMPONGAN TERATAI, 25050 KUANTAN, PAHANG DARUL MAKMUR.",PAHANG,BANDARAYA KUANTAN,,
